freq,resp
962.0,100.7768
963.0,100.77738
964.0,100.77795
965.0,100.77851
966.0,100.77908
967.0,100.77965
968.0,100.78021
969.0,100.78077
970.0,100.78133
971.0,100.78189
972.0,100.78244
973.0,100.783
974.0,100.78355
975.0,100.7841
976.0,100.78465
977.0,100.7852
978.0,100.78574
979.0,100.78628
980.0,100.78683
981.0,100.78737
982.0,100.7879
983.0,100.78844
984.0,100.78898
985.0,100.78951
986.0,100.79004
987.0,100.79057
988.0,100.7911
989.0,100.79163
990.0,100.79215
991.0,100.79267
992.0,100.7932
993.0,100.79372
994.0,100.79424
995.0,100.79475
996.0,100.79527
997.0,100.79578
998.0,100.79629
999.0,100.7968
1000.0,100.79731
1001.0,100.79782
1002.0,100.79832
1003.0,100.79883
1004.0,100.79933
1005.0,100.79983
1006.0,100.80033
1007.0,100.80083
1008.0,100.80132
1009.0,100.80182
1010.0,100.80231
1011.0,100.8028
1012.0,100.80329
1013.0,100.80378
1014.0,100.80427
1015.0,100.80476
1016.0,100.80524
1017.0,100.80572
1018.0,100.8062
1019.0,100.80668
1020.0,100.80716
1021.0,100.80764
1022.0,100.80811
1023.0,100.80859
1024.0,100.80906
1025.0,100.80953
1026.0,100.81
1027.0,100.81047
1028.0,100.81093
1029.0,100.8114
1030.0,100.81186
1031.0,100.81233
1032.0,100.81279
1033.0,100.81325
1034.0,100.8137
1035.0,100.81416
1036.0,100.81462
1037.0,100.81507
1038.0,100.81552
1039.0,100.81597
1040.0,100.81642
1041.0,100.81687
1042.0,100.81732
1043.0,100.81777
1044.0,100.81821
1045.0,100.81865
1046.0,100.81909
1047.0,100.81954
1048.0,100.81997
1049.0,100.82041
1050.0,100.82085
1051.0,100.82128
1052.0,100.82172
1053.0,100.82215
1054.0,100.82258
1055.0,100.82301
1056.0,100.82344
1057.0,100.82387
1058.0,100.82429
1059.0,100.82472
1060.0,100.82514
1061.0,100.82556
1062.0,100.82598
1063.0,100.8264
1064.0,100.82682
1065.0,100.82724
1066.0,100.82766
1067.0,100.82807
1068.0,100.82848
1069.0,100.8289
1070.0,100.82931
1071.0,100.82972
1072.0,100.83013
1073.0,100.83053
1074.0,100.83094
1075.0,100.83135
1076.0,100.83175
1077.0,100.83215
1078.0,100.83255
1079.0,100.83295
1080.0,100.83335
1081.0,100.83375
1082.0,100.83415
1083.0,100.83454
1084.0,100.83494
1085.0,100.83533
1086.0,100.83572
1087.0,100.83612
1088.0,100.83651
1089.0,100.83689
1090.0,100.83728
1091.0,100.83767
1092.0,100.83805
1093.0,100.83844
1094.0,100.83882
1095.0,100.8392
1096.0,100.83958
1097.0,100.83996
1098.0,100.84034
1099.0,100.84072
1100.0,100.8411
1101.0,100.84147
1102.0,100.84185
1103.0,100.84222
1104.0,100.84259
1105.0,100.84296
1106.0,100.84333
1107.0,100.8437
1108.0,100.84407
1109.0,100.84444
1110.0,100.8448
1111.0,100.84517
1112.0,100.84553
1113.0,100.84589
1114.0,100.84625
1115.0,100.84661
1116.0,100.84697
1117.0,100.84733
1118.0,100.84769
1119.0,100.84805
1120.0,100.8484
1121.0,100.84876
1122.0,100.84911
1123.0,100.84946
1124.0,100.84981
1125.0,100.85016
1126.0,100.85051
1127.0,100.85086
1128.0,100.85121
1129.0,100.85155
1130.0,100.8519
1131.0,100.85224
1132.0,100.85259
1133.0,100.85293
1134.0,100.85327
1135.0,100.85361
1136.0,100.85395
1137.0,100.85429
1138.0,100.85463
1139.0,100.85496
1140.0,100.8553
1141.0,100.85563
1142.0,100.85597
1143.0,100.8563
1144.0,100.85663
1145.0,100.85696
1146.0,100.85729
1147.0,100.85762
1148.0,100.85795
1149.0,100.85828
1150.0,100.8586
1151.0,100.85893
1152.0,100.85925
1153.0,100.85958
1154.0,100.8599
1155.0,100.86022
1156.0,100.86054
1157.0,100.86086
1158.0,100.86118
1159.0,100.8615
1160.0,100.86182
1161.0,100.86213
1162.0,100.86245
1163.0,100.86276
1164.0,100.86308
1165.0,100.86339
1166.0,100.8637
1167.0,100.86401
1168.0,100.86432
1169.0,100.86463
1170.0,100.86494
1171.0,100.86525
1172.0,100.86556
1173.0,100.86586
1174.0,100.86617
1175.0,100.86647
1176.0,100.86678
1177.0,100.86708
1178.0,100.86738
1179.0,100.86768
1180.0,100.86798
1181.0,100.86828
1182.0,100.86858
1183.0,100.86888
1184.0,100.86917
1185.0,100.86947
1186.0,100.86976
1187.0,100.87006
1188.0,100.87035
1189.0,100.87064
1190.0,100.87094
1191.0,100.87123
1192.0,100.87152
1193.0,100.87181
1194.0,100.8721
1195.0,100.87238
1196.0,100.87267
1197.0,100.87296
1198.0,100.87324
1199.0,100.87353
1200.0,100.87381
1201.0,100.87409
1202.0,100.87438
1203.0,100.87466
1204.0,100.87494
1205.0,100.87522
1206.0,100.8755
1207.0,100.87578
1208.0,100.87605
1209.0,100.87633
1210.0,100.87661
1211.0,100.87688
1212.0,100.87716
1213.0,100.87743
1214.0,100.87771
1215.0,100.87798
1216.0,100.87825
1217.0,100.87852
1218.0,100.87879
1219.0,100.87906
1220.0,100.87933
1221.0,100.8796
1222.0,100.87987
1223.0,100.88013
1224.0,100.8804
1225.0,100.88066
1226.0,100.88093
1227.0,100.88119
1228.0,100.88145
1229.0,100.88172
1230.0,100.88198
1231.0,100.88224
1232.0,100.8825
1233.0,100.88276
1234.0,100.88302
1235.0,100.88328
1236.0,100.88353
1237.0,100.88379
1238.0,100.88405
1239.0,100.8843
1240.0,100.88456
1241.0,100.88481
1242.0,100.88506
1243.0,100.88532
1244.0,100.88557
1245.0,100.88582
1246.0,100.88607
1247.0,100.88632
1248.0,100.88657
1249.0,100.88682
1250.0,100.88707
1251.0,100.88731
1252.0,100.88756
1253.0,100.88781
1254.0,100.88805
1255.0,100.8883
1256.0,100.88854
1257.0,100.88878
1258.0,100.88903
1259.0,100.88927
1260.0,100.88951
1261.0,100.88975
1262.0,100.88999
1263.0,100.89023
1264.0,100.89047
1265.0,100.89071
1266.0,100.89095
1267.0,100.89118
1268.0,100.89142
1269.0,100.89165
1270.0,100.89189
1271.0,100.89212
1272.0,100.89236
1273.0,100.89259
1274.0,100.89282
1275.0,100.89306
1276.0,100.89329
1277.0,100.89352
1278.0,100.89375
1279.0,100.89398
1280.0,100.89421
1281.0,100.89443
1282.0,100.89466
1283.0,100.89489
1284.0,100.89512
1285.0,100.89534
1286.0,100.89557
1287.0,100.89579
1288.0,100.89602
1289.0,100.89624
1290.0,100.89646
1291.0,100.89668
1292.0,100.89691
1293.0,100.89713
1294.0,100.89735
1295.0,100.89757
1296.0,100.89779
1297.0,100.89801
1298.0,100.89822
1299.0,100.89844
1300.0,100.89866
1301.0,100.89888
1302.0,100.89909
1303.0,100.89931
1304.0,100.89952
1305.0,100.89974
1306.0,100.89995
1307.0,100.90016
1308.0,100.90038
1309.0,100.90059
1310.0,100.9008
1311.0,100.90101
1312.0,100.90122
1313.0,100.90143
1314.0,100.90164
1315.0,100.90185
1316.0,100.90206
1317.0,100.90227
1318.0,100.90247
1319.0,100.90268
1320.0,100.90289
1321.0,100.90309
1322.0,100.9033
1323.0,100.9035
1324.0,100.9037
1325.0,100.90391
1326.0,100.90411
1327.0,100.90431
1328.0,100.90451
1329.0,100.90472
1330.0,100.90492
1331.0,100.90512
1332.0,100.90532
1333.0,100.90552
1334.0,100.90571
1335.0,100.90591
1336.0,100.90611
1337.0,100.90631
1338.0,100.9065
1339.0,100.9067
1340.0,100.9069
1341.0,100.90709
1342.0,100.90728
1343.0,100.90748
1344.0,100.90767
1345.0,100.90787
1346.0,100.90806
1347.0,100.90825
1348.0,100.90844
1349.0,100.90863
1350.0,100.90882
1351.0,100.90901
1352.0,100.9092
1353.0,100.90939
1354.0,100.90958
1355.0,100.90977
1356.0,100.90996
1357.0,100.91014
1358.0,100.91033
1359.0,100.91052
1360.0,100.9107
1361.0,100.91089
1362.0,100.91107
1363.0,100.91126
1364.0,100.91144
1365.0,100.91162
1366.0,100.91181
1367.0,100.91199
1368.0,100.91217
1369.0,100.91235
1370.0,100.91253
1371.0,100.91271
1372.0,100.91289
1373.0,100.91307
1374.0,100.91325
1375.0,100.91343
1376.0,100.91361
1377.0,100.91379
1378.0,100.91396
1379.0,100.91414
1380.0,100.91432
1381.0,100.91449
1382.0,100.91467
1383.0,100.91484
1384.0,100.91502
1385.0,100.91519
1386.0,100.91537
1387.0,100.91554
1388.0,100.91571
1389.0,100.91588
1390.0,100.91606
1391.0,100.91623
1392.0,100.9164
1393.0,100.91657
1394.0,100.91674
1395.0,100.91691
1396.0,100.91708
1397.0,100.91725
1398.0,100.91742
1399.0,100.91758
1400.0,100.91775
1401.0,100.91792
1402.0,100.91809
1403.0,100.91825
1404.0,100.91842
1405.0,100.91858
1406.0,100.91875
1407.0,100.91891
1408.0,100.91908
1409.0,100.91924
1410.0,100.9194
1411.0,100.91957
1412.0,100.91973
1413.0,100.91989
1414.0,100.92005
1415.0,100.92021
1416.0,100.92037
1417.0,100.92053
1418.0,100.92069
1419.0,100.92085
1420.0,100.92101
1421.0,100.92117
1422.0,100.92133
1423.0,100.92149
1424.0,100.92165
1425.0,100.9218
1426.0,100.92196
1427.0,100.92212
1428.0,100.92227
1429.0,100.92243
1430.0,100.92258
1431.0,100.92274
1432.0,100.92289
1433.0,100.92305
1434.0,100.9232
1435.0,100.92335
1436.0,100.92351
1437.0,100.92366
1438.0,100.92381
1439.0,100.92396
1440.0,100.92411
1441.0,100.92426
1442.0,100.92441
1443.0,100.92456
1444.0,100.92471
1445.0,100.92486
1446.0,100.92501
1447.0,100.92516
1448.0,100.92531
1449.0,100.92546
1450.0,100.9256
1451.0,100.92575
1452.0,100.9259
1453.0,100.92604
1454.0,100.92619
1455.0,100.92634
1456.0,100.92648
1457.0,100.92663
1458.0,100.92677
1459.0,100.92691
1460.0,100.92706
1461.0,100.9272
1462.0,100.92734
1463.0,100.92749
1464.0,100.92763
1465.0,100.92777
1466.0,100.92791
1467.0,100.92805
1468.0,100.9282
1469.0,100.92834
1470.0,100.92848
1471.0,100.92862
1472.0,100.92876
1473.0,100.92889
1474.0,100.92903
1475.0,100.92917
1476.0,100.92931
1477.0,100.92945
1478.0,100.92958
1479.0,100.92972
1480.0,100.92986
1481.0,100.92999
1482.0,100.93013
1483.0,100.93027
1484.0,100.9304
1485.0,100.93054
1486.0,100.93067
1487.0,100.9308
1488.0,100.93094
1489.0,100.93107
1490.0,100.9312
1491.0,100.93134
1492.0,100.93147
1493.0,100.9316
1494.0,100.93173
1495.0,100.93187
1496.0,100.932
1497.0,100.93213
